food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Calcium
orange with peel,100,0.5,0.036,0.003,0.048,24.6,0.0,2.1,7.2,0.0,0.028,111.3
chokecherries,249,2.6,0.0,0.0,0.0,51.8,14.4,4.7,30.8,0.0,0.078,92.4
mango,202,1.3,0.3,0.5,0.2,50.3,45.9,2.8,5.4,0.0,0.027,0.019
wild plum,147,0.3,0.0,0.0,0.0,35.3,17.1,0.7,9.7,0.0,0.047,17.7
jeijoa,148,1.0,0.3,0.1,0.3,37.0,19.9,1.7,15.6,0.0,0.041,41.3
groundcherries,74,1.0,0.0,0.0,0.0,15.7,0.0,2.7,0.0,0.0,0.0,12.6
pesca,30,0.1,6.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
persimmon,32,0.1,0.0,0.0,0.0,8.4,0.0,0.2,0.0,0.0,0.024,6.8
grapes,3,0.044,0.041,0.012,0.008,0.9,0.8,0.045,0.087,0.0,0.009,0.5
rambutan canned,175,0.4,0.0,0.0,0.0,44.7,0.0,1.4,1.9,0.0,0.051,47.1
figs canned,14,0.039,0.066,0.066,0.045,3.8,3.2,0.1,0.6,0.0,0.049,7.6
prunes canned,246,0.5,0.072,0.3,0.1,65.1,0.0,2.0,8.9,0.0,0.044,39.8
pineapples canned,28,0.05,0.079,0.039,0.078,7.4,6.8,0.2,0.4,0.0,0.06,6.6
prune plums canned,27,0.075,0.006,0.035,0.096,7.0,6.5,0.2,0.4,0.0,0.055,4.6
tangerines canned,92,0.1,0.087,0.086,0.04,23.8,22.1,1.5,1.7,0.0,0.022,27.4
fruit cocktail canned,109,0.053,0.03,0.04,0.042,28.1,25.7,1.1,2.4,0.0,0.059,19.0
sour cherries canned,189,0.3,0.007,0.033,0.087,48.6,0.0,1.9,2.0,0.0,0.073,25.2
mangosteen canned,143,1.1,0.0,0.0,0.0,35.1,0.0,0.8,3.5,0.0,0.024,23.5
apricot juice,117,0.07,0.008,0.048,0.065,30.1,26.2,1.5,3.9,0.0,0.024,0.053
strawberries canned,234,0.7,0.064,0.03,0.3,59.8,55.4,1.4,4.3,0.0,0.024,33.0
peach canned,110,0.094,0.03,0.026,0.067,28.9,25.7,1.6,3.3,0.0,0.006,15.0
fruit salad canned,125,0.008,0.08,0.005,0.006,32.5,0.0,1.3,2.5,0.0,0.069,27.4
gooseberries canned,184,0.5,0.004,0.097,0.3,47.3,0.0,1.6,6.0,0.0,0.097,40.3
grapefruit canned,88,0.2,0.09,0.011,0.066,22.3,21.4,1.4,1.0,0.0,0.091,36.6
pear canned,38,0.001,0.099,0.049,0.034,9.8,7.4,0.3,1.2,0.0,0.088,6.8
raspberries canned,233,0.3,0.081,0.012,0.2,59.8,51.4,2.1,8.4,0.0,0.013,28.2
papaya canned,80,0.2,0.1,0.006,0.026,21.8,20.4,0.001,0.6,0.0,0.075,8.2
grapes canned,98,0.3,0.034,0.072,0.006,25.2,23.8,1.2,1.5,0.0,0.022,24.5
apple dried,145,0.2,0.088,0.022,0.041,39.1,34.0,0.6,5.1,0.0,0.024,7.7
peach dried,199,0.6,0.055,0.2,0.3,50.8,43.8,3.0,7.0,0.0,0.059,23.2
plantain chips,150,8.4,2.4,1.6,3.3,18.1,0.3,0.6,1.0,0.0,0.039,2.5
golden raisins,498,0.8,0.2,0.016,0.2,131.2,97.7,5.6,6.6,0.0,0.001,87.5
raisins seeded,488,0.9,0.3,0.036,0.3,129.5,0.0,4.2,11.2,0.0,0.098,46.2
zante currants dried,408,0.4,0.009,0.003,0.3,106.7,96.9,5.9,9.8,0.0,0.067,123.8
pear dried,94,0.2,0.003,0.01,0.065,25.1,22.4,0.7,2.7,0.0,0.074,12.2
raisins,90,0.056,0.005,0.063,0.004,23.8,19.6,1.0,1.4,0.0,0.025,0.068
prune plums dried,308,0.5,0.01,0.4,0.1,81.5,0.0,2.7,9.4,0.0,0.011,52.1
cranberries dried,370,1.6,0.1,0.2,0.8,98.8,78.0,0.053,6.8,0.0,0.037,12.0
figs dried,21,0.008,0.014,0.003,0.037,5.4,4.0,0.3,0.8,0.0,0.091,13.6
longans dried,5,0.091,0.0,0.0,0.0,1.3,0.0,0.027,0.0,0.0,0.018,0.8
banana chips,147,9.5,8.2,0.6,0.2,16.5,10.0,0.7,2.2,0.0,0.099,5.1
lychee dried,7,0.003,0.076,0.004,0.061,1.8,1.7,0.01,0.1,0.0,0.049,0.8
apricot dried,17,0.015,0.02,0.083,0.031,4.4,3.7,0.2,0.5,0.0,0.066,3.9
longan,2,0.076,0.0,0.0,0.0,0.5,0.0,0.009,0.071,0.0,0.0,0.039
mamey sapote,217,0.8,0.3,0.2,0.2,56.2,35.2,2.5,9.5,0.0,0.008,31.5
waxgourd cooked,19,0.4,0.026,0.076,0.2,4.3,2.1,0.7,1.8,0.0,0.6,31.5
jackfruit,33,0.2,0.071,0.004,0.002,8.1,6.7,0.6,0.5,0.0,0.094,0.0
loquats,9,0.071,0.085,0.035,0.023,2.4,0.0,0.09,0.3,0.0,0.053,3.2
mammy apple mamey,431,4.2,1.2,1.7,0.7,105.8,0.0,4.2,25.4,0.0,0.1,93.1
nance,82,1.3,0.0,0.0,0.0,19.0,9.3,0.7,8.4,0.0,0.039,0.078
coconut whole coconut,3336,71.5,672.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prickly pear,42,0.5,0.014,0.038,0.2,9.9,0.0,0.8,3.7,0.0,0.044,0.0
lychee,6,0.016,0.06,0.03,0.067,1.6,1.5,0.024,0.1,0.0,0.029,0.086
naranjilla lulo pulp,30,0.3,0.0,0.0,0.0,7.1,4.5,0.5,1.3,0.0,0.044,9.6
coconut meat dried,187,18.3,16.2,0.8,0.2,6.7,2.1,1.9,4.6,0.0,0.058,7.4
waxgourd raw,17,0.3,0.036,0.024,0.1,4.0,0.0,0.5,3.8,0.0,0.1,25.1
